param,reuse-param,lossy-win,#instances,sarf-arf,parf-arf,parf-sarf
k0.2-e110,r0.4-r0.4-w0,lossy-160,399000,36.800000000000004,37.124000000000045,0.32400000000000195
k0.2-e110,r0.4-r0.4-w0,lossy-1180,399000,36.800000000000004,33.89799999999999,-2.9020000000000024
k0.2-e110,r0.4-r0.4-w0,lossy-460,399000,36.800000000000004,37.33900000000002,0.5389999999999956
k0.2-e110,r0.4-r0.4-w0,lossy-1060,399000,36.800000000000004,35.96900000000001,-0.8309999999999992
k0.2-e110,r0.4-r0.4-w0,lossy-820,399000,36.800000000000004,35.35099999999999,-1.449000000000002
k0.2-e110,r0.4-r0.4-w0,lossy-760,399000,36.800000000000004,35.85800000000001,-0.9420000000000001
k0.2-e110,r0.4-r0.4-w0,lossy-1120,399000,36.800000000000004,32.695999999999984,-4.103999999999998
k0.2-e110,r0.4-r0.4-w0,lossy-1000,399000,36.800000000000004,35.037999999999975,-1.7620000000000002
k0.2-e110,r0.4-r0.4-w0,lossy-940,399000,36.800000000000004,32.73199999999999,-4.0680000000000005
k0.2-e110,r0.4-r0.4-w0,lossy-100000000,399000,36.800000000000004,38.273,1.4729999999999976
k0.2-e110,r0.4-r0.4-w0,lossy-520,399000,36.800000000000004,36.296,-0.5040000000000019
k0.2-e110,r0.4-r0.4-w0,lossy-220,399000,36.800000000000004,32.64299999999999,-4.156999999999997
k0.2-e110,r0.4-r0.4-w0,lossy-700,399000,36.800000000000004,34.382000000000005,-2.418
k0.2-e110,r0.4-r0.4-w0,lossy-340,399000,36.800000000000004,31.959000000000003,-4.8409999999999975
k0.2-e110,r0.4-r0.4-w0,lossy-880,399000,36.800000000000004,35.206,-1.5939999999999976
k0.2-e110,r0.4-r0.4-w0,lossy-580,399000,36.800000000000004,33.18400000000001,-3.616
k0.2-e110,r0.4-r0.4-w0,lossy-640,399000,36.800000000000004,29.86299999999998,-6.936999999999994
k0.2-e110,r0.4-r0.4-w0,lossy-1300,399000,36.800000000000004,34.37700000000002,-2.4230000000000023
k0.2-e110,r0.4-r0.4-w0,lossy-280,399000,36.800000000000004,33.84100000000002,-2.9589999999999996
k0.2-e110,r0.4-r0.4-w0,lossy-400,399000,36.800000000000004,33.33599999999997,-3.4639999999999995
k0.2-e110,r0.4-r0.4-w0,lossy-1240,399000,36.800000000000004,34.17599999999998,-2.623999999999999
