#count,ecpfht-arf,ecpfarf-arf,sarf-arf
1000,-0.29999999999998295,-0.29999999999998295,0.0
2000,-0.4999999999999858,-0.0999999999999801,0.0
3000,-0.4999999999999858,-0.0999999999999801,0.0
4000,-0.3999999999999915,-0.19999999999998153,0.0
5000,-2.9999999999999716,-0.29999999999996163,-1.3999999999999773
6000,-4.699999999999967,0.3000000000000398,-1.4999999999999858
7000,-6.499999999999972,5.000000000000043,-1.7999999999999972
8000,-13.699999999999967,8.300000000000047,-0.19999999999999574
9000,-17.299999999999983,9.500000000000036,-0.4000000000000057
10000,-20.29999999999997,13.600000000000051,0.10000000000001563
11000,-21.49999999999998,16.600000000000044,0.20000000000001705
12000,-21.900000000000013,22.20000000000001,0.9999999999999858
13000,-23.900000000000013,27.400000000000013,0.8999999999999844
14000,-25.00000000000003,29.299999999999997,0.49999999999995737
15000,-26.60000000000003,34.1,1.3999999999999702
16000,-27.800000000000026,37.30000000000001,1.1999999999999744
17000,-30.50000000000003,41.10000000000002,3.099999999999966
18000,-29.300000000000026,45.10000000000002,3.899999999999963
19000,-29.80000000000004,45.10000000000001,4.399999999999963
20000,-30.000000000000057,45.20000000000002,4.399999999999963
21000,-30.20000000000006,45.000000000000014,4.399999999999963
22000,-30.100000000000065,45.400000000000006,4.399999999999963
23000,-30.00000000000007,46.90000000000002,4.299999999999983
24000,-29.900000000000077,47.20000000000002,4.399999999999963
25000,-29.100000000000094,48.900000000000006,5.599999999999923
26000,-28.700000000000074,52.400000000000006,7.199999999999932
27000,-27.50000000000007,55.69999999999999,8.699999999999918
28000,-26.200000000000045,58.5,11.999999999999943
29000,-26.500000000000043,60.10000000000001,14.099999999999937
30000,-25.000000000000043,61.7,15.599999999999937
31000,-25.700000000000045,61.400000000000006,15.699999999999932
32000,-26.00000000000003,62.00000000000003,15.999999999999943
33000,-27.600000000000023,62.500000000000014,15.999999999999943
34000,-27.700000000000003,62.300000000000026,15.999999999999943
35000,-27.599999999999994,62.20000000000003,16.499999999999957
36000,-28.5,61.20000000000003,16.499999999999957
37000,-34.0,61.300000000000026,16.499999999999957
38000,-35.79999999999998,61.099999999999994,16.499999999999957
39000,-35.89999999999998,61.0,16.499999999999957
40000,-35.89999999999998,61.0,16.499999999999957
41000,-35.999999999999986,61.7,16.499999999999957
42000,-35.89999999999999,61.7,16.499999999999957
43000,-33.89999999999999,63.59999999999998,16.899999999999963
44000,-31.599999999999994,65.29999999999997,16.799999999999955
45000,-26.899999999999977,69.49999999999996,19.79999999999997
46000,-25.299999999999983,71.69999999999995,21.79999999999997
47000,-24.49999999999997,71.99999999999996,22.69999999999996
48000,-23.699999999999974,72.59999999999995,23.89999999999995
49000,-23.099999999999994,72.89999999999995,24.499999999999943
50000,-23.0,73.39999999999995,24.59999999999995
51000,-22.600000000000023,73.89999999999993,24.899999999999935
52000,-22.40000000000002,74.99999999999991,25.099999999999937
53000,-22.800000000000026,75.8999999999999,24.99999999999993
54000,-22.900000000000034,77.59999999999991,24.99999999999993
55000,-22.900000000000034,77.49999999999993,24.99999999999993
56000,-23.100000000000023,77.79999999999994,24.99999999999993
57000,-23.200000000000017,78.09999999999994,24.99999999999993
58000,-23.40000000000002,78.59999999999994,24.99999999999993
59000,-22.90000000000002,79.59999999999994,24.99999999999993
60000,-22.400000000000006,80.19999999999995,24.99999999999993
61000,-21.000000000000014,83.79999999999994,25.099999999999916
62000,-16.500000000000014,87.59999999999994,27.79999999999992
63000,-13.100000000000016,91.09999999999994,31.499999999999915
64000,-9.699999999999996,93.89999999999995,35.09999999999992
65000,-9.399999999999984,93.09999999999995,35.59999999999992
66000,-8.599999999999987,94.89999999999995,37.19999999999992
67000,-7.899999999999984,98.99999999999996,37.89999999999992
68000,-7.799999999999976,101.79999999999997,38.299999999999926
69000,-7.899999999999999,101.49999999999997,38.299999999999926
70000,-7.999999999999979,101.39999999999999,38.299999999999926
71000,-7.999999999999979,101.49999999999999,38.299999999999926
72000,-7.899999999999984,102.10000000000001,38.299999999999926
73000,-8.199999999999996,102.2,38.299999999999926
74000,-8.199999999999982,101.90000000000002,38.299999999999926
75000,-9.799999999999962,105.50000000000004,38.39999999999995
76000,-9.799999999999962,108.80000000000004,38.19999999999996
77000,-12.199999999999974,111.10000000000002,37.89999999999995
78000,-16.799999999999983,114.00000000000001,39.39999999999995
79000,-22.29999999999996,116.30000000000003,39.39999999999996
80000,-28.99999999999997,116.70000000000002,39.39999999999995
81000,-32.199999999999974,118.70000000000002,38.99999999999996
82000,-32.79999999999998,121.9,40.09999999999995
83000,-33.89999999999999,123.19999999999999,40.89999999999994
84000,-35.09999999999999,126.0,41.19999999999993
85000,-37.3,127.69999999999999,40.79999999999994
86000,-38.39999999999999,127.8,40.699999999999946
87000,-38.999999999999986,128.10000000000002,40.699999999999946
88000,-38.89999999999998,128.50000000000006,40.699999999999946
89000,-36.29999999999997,130.10000000000008,40.699999999999946
90000,-32.49999999999996,134.4000000000001,41.19999999999997
91000,-29.499999999999964,137.50000000000009,43.09999999999997
92000,-29.899999999999956,138.5000000000001,43.69999999999998
93000,-29.699999999999953,139.5000000000001,44.09999999999999
94000,-28.99999999999995,139.80000000000013,44.299999999999976
95000,-29.299999999999947,139.5000000000001,44.1
96000,-30.59999999999995,139.5000000000001,43.90000000000001
97000,-30.899999999999963,139.6000000000001,44.0
98000,-31.19999999999999,138.9000000000001,43.59999999999997
99000,-31.599999999999973,140.7000000000001,43.79999999999997
100000,-31.899999999999956,144.2000000000001,44.29999999999997
101000,-34.099999999999966,147.5000000000001,43.199999999999946
102000,-35.39999999999995,149.70000000000013,43.19999999999996
103000,-36.99999999999995,151.80000000000013,42.89999999999995
104000,-37.89999999999997,151.2000000000001,42.99999999999994
105000,-37.999999999999964,151.1000000000001,42.99999999999994
106000,-38.999999999999964,151.1000000000001,42.99999999999994
107000,-40.09999999999996,150.80000000000013,42.99999999999994
108000,-40.499999999999964,151.2000000000001,42.99999999999994
109000,-40.799999999999976,151.00000000000009,42.99999999999994
110000,-42.19999999999995,150.9000000000001,42.99999999999994
111000,-42.49999999999998,151.50000000000009,43.299999999999926
112000,-42.799999999999976,151.60000000000008,43.299999999999926
113000,-43.49999999999998,151.30000000000007,43.49999999999993
114000,-42.6,152.10000000000008,43.699999999999946
115000,-41.30000000000002,152.20000000000005,43.79999999999994
116000,-40.30000000000002,152.60000000000002,44.59999999999992
117000,-39.90000000000001,153.20000000000005,44.299999999999926
118000,-38.40000000000001,154.00000000000006,44.399999999999935
119000,-37.30000000000002,155.20000000000005,44.09999999999992
120000,-35.80000000000002,156.20000000000005,43.999999999999915
121000,-36.000000000000036,156.40000000000003,43.999999999999915
122000,-36.40000000000004,156.30000000000004,43.999999999999915
123000,-37.000000000000036,156.30000000000004,43.999999999999915
124000,-36.700000000000024,156.4000000000001,43.999999999999915
125000,-35.90000000000004,156.00000000000009,43.999999999999915
126000,-35.20000000000005,155.20000000000007,43.999999999999915
127000,-34.90000000000007,155.00000000000006,43.999999999999915
128000,-35.60000000000006,154.80000000000007,43.999999999999915
129000,-34.300000000000075,155.20000000000007,44.09999999999994
130000,-34.30000000000009,153.9000000000001,43.899999999999935
131000,-32.70000000000008,155.2000000000001,44.09999999999995
132000,-30.700000000000074,156.7000000000001,43.59999999999995
133000,-29.300000000000068,157.4000000000001,44.19999999999996
134000,-28.100000000000072,156.8000000000001,44.899999999999956
135000,-27.70000000000008,155.2000000000001,45.79999999999995
136000,-28.20000000000008,154.9000000000001,46.09999999999993
137000,-28.20000000000008,154.7000000000001,46.199999999999925
138000,-27.600000000000087,154.8000000000001,46.99999999999992
139000,-31.900000000000098,154.10000000000008,46.99999999999992
140000,-34.200000000000095,154.00000000000006,46.99999999999992
141000,-34.20000000000008,154.00000000000006,46.99999999999992
