#count,gain
1000,0.0019999999999997797
2000,0.007999999999999452
3000,0.01699999999999935
4000,0.024999999999999245
5000,0.023999999999999355
6000,0.021999999999999242
7000,0.01999999999999924
8000,0.007999999999999119
9000,0.011999999999999122
10000,0.012999999999999012
11000,0.005999999999999006
12000,0.00799999999999923
13000,0.0019999999999994467
14000,-0.002000000000000557
15000,-0.022000000000000686
16000,-0.03000000000000047
17000,-0.01600000000000057
18000,-0.009000000000000563
19000,-5.551115123125783e-16
20000,0.015999999999999348
21000,0.014999999999999458
22000,0.01799999999999946
23000,0.019999999999999463
