count,accuracy,kappa,memory
1000,0.7920000000000001,0.02323226921450753,0
2000,0.8019999999999999,0.0,0
3000,0.798,0.0,0
4000,0.825,0.0,0
5000,0.8270000000000002,0.0,0
6000,0.8009999999999999,0.0016774515231090636,0
7000,0.819,0.08144378350434486,0
8000,0.836,0.2521686302925174,0
9000,0.8320000000000001,0.15322241666146344,0
10000,0.589,0.09749262128600399,0
11000,0.6900000000000001,0.031742868281042655,0
12000,0.7050000000000001,0.2410707965075313,0
13000,0.695,0.10721352505883788,0
14000,0.7830000000000001,0.0,0
15000,0.807,0.0,0
16000,0.6799999999999999,0.22002647430983363,0
17000,0.774,0.15661444788412668,0
18000,0.8460000000000001,0.6883398133894751,0
19000,0.8870000000000001,0.6696484149430952,0
20000,0.915,0.7872205519891611,0
21000,0.932,0.848231590123952,0
22000,0.738,0.25743945415926067,0
23000,0.8859999999999999,0.7602759128498681,0
24000,0.8940000000000001,0.7980245376801545,0
25000,0.6459999999999999,0.11418035105031132,0
26000,0.7180000000000001,0.07638239559622607,0
27000,0.743,0.40745995870602786,0
28000,0.7110000000000001,0.26623259043254366,0
29000,0.8710000000000001,0.7280868690190924,0
30000,0.9040000000000001,0.8304971475381073,0
31000,0.5940000000000001,0.02108931236754852,0
32000,0.626,0.0196423226490021,0
33000,0.704,0.23571656264814198,0
34000,0.7830000000000001,0.06784504924685192,0
35000,0.806,0.0,0
36000,0.807,0.0,0
37000,0.597,0.06769575701475031,0
38000,0.8229999999999998,0.2159447327424088,0
39000,0.8149999999999998,0.7172062001097078,0
40000,0.789,0.4111149893349797,0
41000,0.845,0.5493019134884607,0
42000,0.8309999999999998,0.48944367394401916,0
43000,0.905,0.7626282314211019,0
44000,0.8799999999999999,0.7152380243756011,0
45000,0.8699999999999999,0.678458373437975,0
46000,0.729,0.292712373818911,0
47000,0.8070000000000002,0.0,0
48000,0.792,0.0,0
49000,0.659,0.17693531423219983,0
50000,0.7619999999999999,0.10829296297628024,0
51000,0.7510000000000001,0.44135841184084795,0
52000,0.7049999999999998,0.1781687620987964,0
53000,0.806,0.0,0
54000,0.8009999999999998,0.0,0
55000,0.786,0.0,0
56000,0.79,0.0007458242350338762,0
57000,0.813,0.03225278004960238,0
58000,0.614,0.13267735827090132,0
59000,0.68,0.019339883883955234,0
60000,0.7499999999999999,0.37477540327479525,0
61000,0.7180000000000001,0.17449349012937101,0
62000,0.8320000000000001,0.4878543233453593,0
63000,0.753,0.4264945226607842,0
64000,0.8549999999999999,0.4782762680907441,0
65000,0.8099999999999999,0.46888711825264684,0
66000,0.898,0.7280487408851162,0
67000,0.732,0.24481846996378848,0
68000,0.8109999999999997,0.0,0
69000,0.7909999999999999,0.0,0
70000,0.6839999999999999,0.14271100240804663,0
71000,0.8870000000000001,0.738952433761235,0
72000,0.877,0.7411860375164129,0
73000,0.885,0.7411602302208318,0
74000,0.885,0.7977732815854169,0
75000,0.898,0.8078370980322068,0
76000,0.712,0.0926755139137292,0
77000,0.8150000000000001,0.0,0
78000,0.808,0.0,0
79000,0.625,0.168762557344398,0
80000,0.7330000000000001,0.06170395395231239,0
81000,0.7249999999999999,0.2998113851129675,0
82000,0.775,0.21808802887811804,0
83000,0.9109999999999999,0.8110172009710069,0
84000,0.883,0.7336370332218228,0
85000,0.7180000000000002,0.20437315319480223,0
86000,0.826,0.0,0
87000,0.8140000000000001,0.0,0
88000,0.7540000000000001,0.2522313767841325,0
89000,0.9409999999999998,0.837676504432632,0
90000,0.8219999999999998,0.7134183784816337,0
91000,0.705,0.11628544278768072,0
92000,0.796,0.0,0
93000,0.798,0.0,0
94000,0.64,0.1552110185574564,0
95000,0.724,0.05716592076481063,0
96000,0.729,0.2866346296027592,0
97000,0.718,0.1559346190884697,0
98000,0.729,0.13232521110961723,0
99000,0.728,0.15570886461029523,0
100000,0.733,0.2500141428682984,0
101000,0.8009999999999998,0.0,0
102000,0.8049999999999999,0.0,0
103000,0.642,0.16367257832112467,0
104000,0.7699999999999999,0.1489492800923939,0
105000,0.8780000000000001,0.7032847322884274,0
106000,0.724,0.24924490592462467,0
107000,0.792,0.0,0
108000,0.788,0.0,0
109000,0.661,0.2151183257792396,0
110000,0.8099999999999999,0.30051115056372557,0
111000,0.7379999999999999,0.38153771322636965,0
112000,0.769,0.2689176420227543,0
113000,0.78,0.3898637365322556,0
114000,0.771,0.3490597244297814,0
115000,0.73,0.2432812159208325,0
116000,0.787,0.0,0
117000,0.7790000000000001,0.0,0
118000,0.7990000000000002,0.0,0
119000,0.7969999999999999,0.004888182279829989,0
120000,0.8180000000000002,0.07353338828994585,0
121000,0.634,0.07343687986754771,0
122000,0.8620000000000001,0.6540458340448291,0
123000,0.893,0.8080374017870409,0
124000,0.7300000000000001,0.14337311461987184,0
125000,0.8130000000000001,0.0,0
126000,0.8019999999999999,0.0,0
127000,0.7290000000000001,0.20080837495141704,0
128000,0.8909999999999998,0.7817191256676999,0
129000,0.8960000000000001,0.782556135531473,0
130000,0.7390000000000001,0.18371052985890562,0
131000,0.784,0.0,0
132000,0.813,0.0,0
133000,0.8099999999999999,0.0,0
134000,0.8030000000000002,0.0,0
135000,0.797,0.0,0
136000,0.8139999999999998,0.0,0
137000,0.791,0.0,0
138000,0.7940000000000002,0.0015974419420042186,0
139000,0.6,0.12801045415472675,0
140000,0.692,0.0063854851030760605,0
141000,0.7709999999999999,0.5223502727955671,0
142000,0.709,0.16374102852573835,0
143000,0.807,0.0,0
144000,0.8019999999999999,0.0,0
145000,0.642,0.13883736893440365,0
146000,0.7060000000000001,0.022203241471518496,0
147000,0.743,0.29912476564171786,0
148000,0.716,0.17417309209675746,0
149000,0.819,0.0,0
150000,0.8130000000000001,0.0,0
151000,0.7860000000000001,0.0,0
152000,0.8230000000000001,0.0,0
153000,0.8000000000000002,0.0,0
154000,0.6080000000000001,0.09771314334151597,0
155000,0.717,0.041289715913428324,0
156000,0.7779999999999999,0.5771552555686206,0
