#count,ecpfht-arf,ecpfarf-arf,sarf-arf
1000,3.799999999999997,5.3999999999999915,0.0
2000,7.000000000000014,10.500000000000014,0.0
3000,8.700000000000003,12.599999999999994,0.19999999999998863
4000,11.800000000000011,15.500000000000014,2.1999999999999886
5000,15.000000000000014,18.500000000000014,4.09999999999998
6000,16.80000000000001,20.30000000000001,5.499999999999972
7000,17.900000000000006,21.60000000000001,7.299999999999969
8000,19.400000000000006,23.60000000000001,9.099999999999966
9000,19.500000000000014,24.800000000000026,10.299999999999997
10000,21.60000000000001,26.40000000000002,12.300000000000011
11000,23.000000000000014,27.200000000000017,13.300000000000011
12000,24.90000000000002,28.90000000000002,15.100000000000023
13000,26.700000000000017,30.100000000000023,16.20000000000003
14000,27.900000000000034,31.900000000000034,18.10000000000005
15000,28.30000000000004,32.80000000000004,19.100000000000065
16000,28.500000000000043,32.80000000000004,19.600000000000065
17000,29.300000000000054,33.700000000000045,20.50000000000007
18000,29.20000000000006,34.30000000000004,21.200000000000088
19000,28.900000000000077,34.90000000000005,21.5000000000001
20000,28.60000000000008,35.40000000000005,21.900000000000105
21000,28.700000000000074,36.200000000000045,22.400000000000105
22000,29.000000000000057,36.70000000000002,22.400000000000063
23000,28.70000000000006,36.90000000000002,22.500000000000057
24000,29.20000000000006,36.90000000000002,22.90000000000005
25000,28.300000000000068,37.10000000000004,23.10000000000005
26000,27.400000000000077,38.00000000000004,23.60000000000005
27000,27.600000000000094,38.50000000000007,23.700000000000074
28000,26.600000000000094,38.200000000000074,23.900000000000063
29000,24.40000000000009,38.50000000000007,24.400000000000063
30000,24.90000000000009,39.30000000000007,24.70000000000006
31000,25.500000000000085,40.20000000000006,25.10000000000008
32000,23.90000000000009,40.40000000000006,25.500000000000085
33000,21.700000000000088,40.80000000000007,25.700000000000088
34000,20.800000000000068,41.10000000000005,26.300000000000068
35000,21.50000000000007,41.90000000000005,26.700000000000074
36000,21.200000000000088,41.50000000000007,26.700000000000088
37000,20.200000000000088,41.700000000000074,26.90000000000009
38000,19.200000000000102,42.10000000000008,27.300000000000097
39000,18.90000000000009,43.100000000000065,27.800000000000082
40000,20.30000000000014,43.60000000000011,28.400000000000134
41000,22.500000000000156,44.300000000000125,29.10000000000015
42000,23.300000000000182,44.80000000000015,29.400000000000162
43000,24.200000000000188,45.40000000000015,29.800000000000168
44000,24.800000000000196,45.90000000000015,29.900000000000176
45000,25.50000000000017,46.300000000000125,30.400000000000148
46000,26.200000000000145,47.10000000000011,31.000000000000128
47000,26.400000000000134,47.8000000000001,31.40000000000012
48000,26.400000000000134,47.600000000000094,31.500000000000114
49000,27.40000000000012,48.60000000000008,32.5000000000001
50000,27.20000000000013,48.70000000000009,32.60000000000011
51000,27.30000000000014,48.90000000000009,32.7000000000001
52000,28.70000000000013,49.500000000000085,33.3000000000001
53000,31.80000000000014,49.80000000000008,33.5000000000001
54000,33.900000000000134,49.90000000000008,33.5000000000001
55000,36.50000000000014,50.500000000000085,33.90000000000012
56000,40.00000000000014,51.000000000000085,34.600000000000136
57000,42.50000000000014,51.90000000000009,34.80000000000014
58000,45.300000000000125,52.60000000000008,35.300000000000125
59000,49.00000000000013,53.80000000000008,35.900000000000134
60000,54.20000000000013,54.40000000000009,36.30000000000014
61000,57.50000000000013,55.0000000000001,36.50000000000014
62000,61.70000000000013,55.2000000000001,36.50000000000014
63000,65.20000000000013,55.400000000000105,36.60000000000012
64000,68.10000000000014,55.60000000000011,36.60000000000012
65000,70.70000000000013,55.80000000000011,36.90000000000012
66000,72.10000000000012,55.400000000000105,36.90000000000012
67000,74.70000000000013,55.500000000000114,36.90000000000012
68000,77.50000000000014,55.70000000000012,37.400000000000105
69000,80.80000000000014,56.2000000000001,37.5000000000001
70000,84.40000000000013,57.0000000000001,38.0000000000001
71000,89.50000000000014,57.5000000000001,38.2000000000001
72000,94.80000000000014,58.20000000000009,38.400000000000105
73000,98.40000000000013,59.20000000000009,38.800000000000125
74000,103.80000000000013,59.80000000000008,39.00000000000013
75000,111.30000000000013,60.90000000000008,39.20000000000012
76000,114.90000000000015,61.100000000000094,39.50000000000014
77000,121.10000000000016,61.20000000000012,39.70000000000016
78000,126.00000000000018,61.600000000000136,39.70000000000017
79000,128.30000000000018,61.600000000000136,39.900000000000176
80000,133.4000000000002,62.10000000000015,40.70000000000017
81000,136.6000000000002,62.50000000000014,41.10000000000015
82000,139.4000000000002,62.600000000000136,41.30000000000017
83000,142.3000000000002,62.90000000000015,41.400000000000176
84000,146.00000000000023,63.100000000000165,41.60000000000018
85000,149.50000000000023,63.70000000000017,42.100000000000165
86000,154.00000000000023,64.00000000000017,42.40000000000019
87000,159.00000000000023,64.70000000000017,42.7000000000002
88000,165.30000000000024,65.70000000000017,43.00000000000021
89000,172.20000000000024,66.20000000000017,43.10000000000019
90000,178.20000000000024,66.90000000000018,43.400000000000176
91000,186.20000000000024,67.90000000000018,44.10000000000018
92000,192.40000000000023,68.10000000000016,44.20000000000017
93000,196.40000000000023,68.60000000000016,44.40000000000016
94000,201.60000000000025,68.70000000000019,44.60000000000019
95000,205.30000000000024,68.8000000000002,44.800000000000196
96000,208.00000000000023,68.70000000000019,44.800000000000196
97000,212.20000000000022,69.00000000000017,45.10000000000018
98000,217.50000000000023,69.60000000000016,45.600000000000136
99000,220.40000000000026,69.50000000000018,45.600000000000136
100000,224.40000000000026,70.3000000000002,45.90000000000015
101000,228.40000000000026,70.4000000000002,46.000000000000156
102000,232.70000000000027,71.20000000000022,46.400000000000176
